assigned_to,component,creation_time,id,keywords,last_change_time,priority,product,resolution,severity,status,summary,whiteboard
"{u'name': u'chulee', u'real_name': u'Chuck Lee [:chucklee]'}",Wifi,2013-11-14T19:49:41Z,938735,[u'regression'],2014-04-16T02:03:27Z,--,Firefox OS,,normal,NEW,Device fails to attempt to connect to wifi from Settings app,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::First Time Experience,2013-01-10T00:15:45Z,828734,[],2013-01-10T01:02:09Z,--,Firefox OS,,normal,NEW,[FTU] Time zone reverts to GMT in display when returning to FTU app,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Video,2013-01-29T17:43:36Z,835889,[],2013-01-29T17:45:13Z,--,Firefox OS,,normal,NEW,[Video] Blank screen when launching video player with no files on the sd card,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Dialer,2013-02-05T14:30:21Z,838153,[],2013-10-11T18:42:18Z,--,Firefox OS,,major,NEW,Long phone numbers truncated in dialer/call app,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Homescreen,2013-04-18T01:51:31Z,863117,[],2013-09-27T02:32:05Z,--,Firefox OS,,critical,NEW,"After running a Gaia UI Test and locking, unlocking homescreen, UI shifts dramatically and unusably",[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Settings,2013-05-09T21:10:12Z,870538,[],2013-05-09T21:12:15Z,--,Firefox OS,,normal,NEW,[v1.0.1] Media Storage not reporting files,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Keyboard,2013-09-04T01:34:25Z,912313,[],2013-09-04T01:35:13Z,--,Firefox OS,,normal,NEW,Changing the keyboard language does not update the keyboard immediately,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Keyboard,2014-03-25T16:48:24Z,987809,"[u'qablocker', u'regression']",2014-05-09T17:30:19Z,--,Firefox OS,,normal,NEW,Shift key is still enabled after we tap the first letter in message box,[xfail][fromAutomation]
"{u'name': u'21', u'real_name': u'Vivien Nicolas (:vingtetun) (:21) (NOT reading bugmails, needinfo? please)'}",Gaia::Homescreen,2013-04-24T15:33:40Z,865279,[],2013-07-29T18:56:10Z,--,Firefox OS,FIXED,major,RESOLVED,Adding bookmark to full homescreen does not create a new panel,"[fromAutomation], u=fx-os-user c=may-6-17 p=1"
"{u'name': u'acperez', u'real_name': u'Albert [:albert]'}",Gaia::Cost Control,2014-01-29T16:33:06Z,965305,"[u'qablocker', u'regression']",2014-03-14T02:23:25Z,--,Firefox OS,FIXED,normal,RESOLVED,[Cost Control] Resetting wi-fi usage from Cost Control app does not always reset to 0 B,[fromAutomation][gaia-ui-test]
"{u'name': u'acperez', u'real_name': u'Albert [:albert]'}",Gaia::Cost Control,2014-03-07T09:09:44Z,980817,[u'regression'],2014-03-14T02:23:25Z,--,Firefox OS,DUPLICATE,normal,RESOLVED,[v1.3][Cost Control] Resetting wi-fi usage from Cost Control app does not always reset to 0 B,[fromAutomation]
"{u'name': u'amirn', u'real_name': u'Amir Nissim (Everything.me)'}",Gaia::Everything.me,2014-04-14T12:20:15Z,995949,[u'regression'],2014-04-26T20:26:34Z,--,Firefox OS,FIXED,normal,RESOLVED,Cannot add smart collection to homescreen,[fromAutomation][xfail]
"{u'name': u'anthony', u'real_name': u'Anthony Ricaud (:rik)'}",Gaia,2013-06-25T15:56:41Z,886844,[u'regression'],2013-06-27T11:28:06Z,--,Firefox OS,FIXED,major,RESOLVED,JavaScript Error NS_ERROR_FILE_NOT_FOUND for icc.js when starting b2g,[fromAutomation]
